guess_brand,BRAND_CONFIRM,Title,Type,Status,Handle
Batatos,,Batatos Spicy 15g,Chips & Crisps,active,batatos-spicy-15g
Batatos,,Batatos Spicy Flavour 167g,Chips & Crisps,active,batatos-spicy-flavour-167g
Batatos,,Batatos Tangy Ketchup 15g,Chips & Crisps,active,batatos-tangy-ketchup-15g
Batatos,,Batatos Tangy Ketchup 167g,Chips & Crisps,active,batatos-tangy-ketchup-167g
Batatos,,Batatos Wisconsin Cheddar 15g,Chips & Crisps,active,batatos-wisconsin-cheddar-15g
Batatos,,Batatos Wisconsin Cheddar 167g,Chips & Crisps,active,batatos-wisconsin-cheddar-167g
Bebeto,,Bebeto Cobra X Jelly Gum 30g,Candy,active,bebeto-cobra-x-jelly-gum-30g
Best,,Best Apple Drink 250ml,Juices & Fruit Drinks,active,best-apple-drink-250ml
Big,,Big 4 in 1 Ice Cream 64g,Ice Cream,active,big-4-in-1-ice-cream-64g
Big,,Big Baby Pop Candy 32 g,Candy,active,big-baby-pop-candy-32-g
Biscuit,,Biscuit Cream Butter Croissant 80g,Bakery & Pastries,active,biscuit-cream-butter-croissant-80g
Bliss,,Bliss Hummus Chips Original 135g,Chips & Crisps,active,bliss-hummus-chips-original-135g
Bliss,,Bliss Veggie Chips Original 135g,Chips & Crisps,active,bliss-veggie-chips-original-135g
Bliss,,Bliss Veggie Straws Original 135g,Chips & Crisps,active,bliss-veggie-straws-original-135g
Bliss,,Bliss Veggie Straws Original 27 g,Chips & Crisps,draft,bliss-veggie-straws-original-27-g
Bonetto,,Bonetto Vanilla Ice Cream,Ice Cream,active,bonetto-vanilla-ice-cream
Boom,,Boom Boom Energy Drink 250ml,Energy & Sports Drinks,active,boom-boom-energy-drink-250ml
Borgat,,Borgat Tongue Paint Lollipops,Candy,active,borgat-tongue-paint-lollipops
Boundry,,Boundry Wafer Rolls,Biscuits & Wafers,active,boundry-wafer-rolls
Bounty,,Bounty 50 gm,Chocolates,active,bounty-50-gm
Bounty,,Bounty Ice Cream 50g,Ice Cream,active,bounty-ice-cream-50g
Bounty,,Bounty Miniatures 150g,Chocolates,active,bounty-miniatures-150g
BR,,BR Baskin-Robbins Cotton Candy 120ml,Ice Cream,active,br-baskin-robbins-cotton-candy-120ml
BR,,BR Baskin-Robbins Pralines ’n Cream 120ml,Ice Cream,active,br-baskin-robbins-pralines-n-cream-120ml
Brain Bitz,,Brain Bitz Chew Bar Apple Flavour (20 g),Candy,active,brain-bitz-chew-bar-apple-flavour-20-g
Brain Bitz,,Brain Bitz Chew Bar Watermelon 20g,Candy,active,brain-bitz-chew-bar-watermelon-20g
Brain Blasters,,Brain Blasters 45g,Candy,active,brain-blasters-45g
Brain Blasters,,Brain Blasters Sour Candy 45g,Candy,active,brain-blasters-sour-candy-45g
Brain Blasterz,,Brain Blasterz Apple Flavour Brain Gunk 28 ML,Candy,active,brain-blasterz-apple-flavour-brain-gunk-28-ml
Brain Blasterz,,Brain Blasterz Candy Spray Apple Flavour 28 ml,Candy,active,brain-blasterz-candy-spray-apple-flavour-28-ml
Brain Blasterz,,Brain Blasterz Sour Candy Brain Bitz 45,Candy,active,brain-blasterz-sour-candy-brain-bitz-45
Brain Blasterz,,Brain Blasterz Sour Candy Brain Breakerz45 g,Candy,active,brain-blasterz-sour-candy-brain-breakerz45-g
Brain Blasterz,,Brain Blasterz Sour Powder (Strawberry Flavour) 10 g,Candy,active,brain-blasterz-sour-powder-strawberry-flavour-10-g
Brain Blasterz,,Brain Blasterz Sour Powder 10 g,Candy,active,brain-blasterz-sour-powder-10-g
Brain Blasterz,,Brain Blasterz Sour Powder with Lolly Dipper 10 GM,Candy,active,brain-blasterz-sour-powder-with-lolly-dipper-10-gm
Brain Blasterz,,Brain Blasterz Sour Scales – 45 g,Candy,active,brain-blasterz-sour-scales-45-g
Brain Blasterz,,Brain Blasterz Strawberry – 28 g,Candy,active,brain-blasterz-strawberry-28-g
Brain Blasterz,,Brain Blasterz Super Sour Berry Candy 48,Candy,active,brain-blasterz-super-sour-berry-candy-48
Brain Blasterz,,Brain Blasterz Super Sour Candy 48,Candy,active,brain-blasterz-super-sour-candy-48
Britannia,,Britannia 50-50 Sweet & Salty Biscuits 71 g,Biscuits,draft,britannia-50-50-sweet-salty-biscuits-71-g
Bubble,,Bubble Gum Strawberry 18 g,Candy,active,bubble-gum-strawberry-18-g
Bubbles,,Bubbles Squeeze 40g,Candy,active,bubbles-squeeze-40g
Bugles,,Bugles Algerian Sauce Flavour 65g,Chips & Crisps,active,bugles-algerian-sauce-flavour-65g
Bugles,,Bugles Chilli Cheese 65g,Chips & Crisps,active,bugles-chilli-cheese-65g
Cadbury,,Cadbury Dairy Milk Bubbly Milk Chocolate 28g,Chocolates,active,cadbury-dairy-milk-bubbly-milk-chocolate-28g
Cadbury,,Cadbury Dairy Milk Fruit & Nut Chocolate Bar 32g,Chocolates,active,cadbury-dairy-milk-fruit-nut-chocolate-bar-32g
Cadbury,,Cadbury Dairy Milk Hazelnut Chocolate Bar 32g,Chocolates,active,cadbury-dairy-milk-hazelnut-chocolate-bar-32g
Cadbury,,Cadbury Dairy Milk Ice Cream 90ml,Ice Cream,active,cadbury-dairy-milk-ice-cream-90ml
Cadbury,,Cadbury Dairy Milk Oreo 95g,Chocolates,active,cadbury-dairy-milk-oreo-95g
Cadbury,,Cadbury Flake Minis Chocolate 28g,Chocolates,active,cadbury-flake-minis-chocolate-28g
Cadbury,,Cadbury Time Out Crunch Wafer 28g,Chocolates,active,cadbury-time-out-crunch-wafer-28g
Camel,,Camel Green Peas (36 g),Nuts & Seeds,active,camel-green-peas-36-g
Camel,,Camel Mixed Snacks (36 g),Nuts & Seeds,active,camel-mixed-snacks-36-g
Camel,,Camel Natural Baked Almonds (36 g),Nuts & Seeds,active,camel-natural-baked-almonds-36-g
Camel,,Camel Natural Smoked Almonds (36 g),Nuts & Seeds,active,camel-natural-smoked-almonds-36-g
Camel,,Camel Roasted Peanuts (36 g),Nuts & Seeds,active,camel-roasted-peanuts-36-g
Canada,,Canada Dry Club Soda 330ml,Carbonated Soft Drinks,active,canada-dry-club-soda-330ml
Candy,,Candy Choco Belight 34g,Chocolates,active,candy-choco-belight-34g
Cappuccino,,Cappuccino Vanilla Ice Cream,Ice Cream,active,cappuccino-vanilla-ice-cream
Capri-Sun,,Capri-Sun Mango 200ml,Juices & Fruit Drinks,active,capri-sun-mango-200ml
Capri-Sun,,Capri-Sun Mixed Fruit 200ml,Juices & Fruit Drinks,active,capri-sun-mixed-fruit-200ml
Cats,,Cats Pop 35 g,Candy,active,cats-pop-35-g
Cats,,Cats Pop Candy Toy,Candy,active,cats-pop-candy-toy
CC,,CC Stick Crazy Birds Mix Fruit 11g,Candy,active,cc-stick-crazy-birds-mix-fruit-11g
Cheetos,,Cheetos Cheddar Jalapeño Crunchy 226.6g,Chips & Crisps,active,cheetos-cheddar-jalape-o-crunchy-226-6g
Cheetos,,Cheetos Crunchy 35.4g,Chips & Crisps,active,cheetos-crunchy-35-4g
Cheetos,,Cheetos Crunchy 99.2g,Chips & Crisps,active,cheetos-crunchy-99-2g
Cheetos,,CHEETOS Crunchy Cheese 190g,Chips & Crisps,active,cheetos-crunchy-cheese-190g
Cheetos,,Cheetos Crunchy Flamin’ Hot 110g,Chips & Crisps,active,cheetos-crunchy-flamin-hot-110g
Cheetos,,Cheetos Flamin’ Hot 40g,Chips & Crisps,active,cheetos-flamin-hot-40g
Cheetos,,Cheetos Flamin’ Hot 50g,Chips & Crisps,active,cheetos-flamin-hot-50g
Cheetos,,Cheetos Flamin’ Hot Crunchy 25g,Chips & Crisps,active,cheetos-flamin-hot-crunchy-25g
Cheetos,,Cheetos Flamin’ Hot Crunchy 99.2g,Chips & Crisps,active,cheetos-flamin-hot-crunchy-99-2g
